Jezersko;1293.86;1235.73;1195.32;1346.01;1382.69;1546.87;1389.35;1480.27
Juršinci;1388.77;1372.76;1264.92;1196.99;1273.78;1294.93;1343.59;1378.48
Kamnik;1341.51;1356.86;1349.29;1344.20;1346.51;1394.91;1435.41;1465.40
Kanal;1505.10;1532.87;1543.62;1401.96;1432.57;1444.26;1457.60;1514.69
Kidrièevo;1078.83;1104.31;1155.57;1211.63;1232.10;1230.42;1235.93;1303.49
Kobarid;1273.53;1294.93;1262.43;1267.09;1321.55;1295.29;1315.60;1335.55
Kobilje;1208.65;1266.49;1169.32;1180.49;1202.99;1242.58;1295.97;1388.85
Koèevje;1266.31;1291.67;1288.34;1296.70;1301.76;1321.51;1357.61;1396.59
Komen;1314.58;1322.61;1314.72;1235.13;1221.96;1236.68;1260.28;1285.84
Komenda;1581.30;1603.08;1606.20;1581.12;1595.23;1666.61;1728.95;1808.79
Koper/Capodistria;1546.71;1568.71;1574.61;1568.99;1587.43;1626.83;1654.96;1699.62
Kostanjevica na Krki;966.25;1017.22;1030.47;1025.73;1015.60;1021.51;1087.57;1127.86
Kostel;1330.20;1341.01;1354.71;1253.86;1224.70;1382.53;1399.68;1429.74
Kozje;1295.54;1319.32;1330.82;1271.47;1293.96;1332.11;1382.20;1417.19
Kranj;1524.24;1549.45;1576.82;1565.86;1563.28;1584.81;1601.57;1639.92
Kranjska Gora;1333.26;1347.56;1312.94;1312.31;1321.16;1319.48;1344.34;1405.56
Križevci;1421.86;1432.29;1471.21;1484.39;1471.80;1486.10;1532.88;1600.33
Krško;1530.10;1554.09;1578.62;1570.60;1589.10;1610.41;1634.61;1683.40
Kungota;1275.98;1305.39;1326.10;1311.92;1282.73;1281.90;1261.34;1288.23
Kuzma;1089.04;1214.18;1144.20;1118.66;1152.01;1196.96;1176.93;1213.06
Laško;1347.90;1400.10;1394.54;1352.30;1330.19;1370.60;1394.86;1415.16
Lenart;1195.29;1212.65;1215.06;1228.17;1254.75;1293.12;1312.60;1378.42
Lendava/Lendva;1317.32;1317.48;1356.84;1341.23;1329.14;1342.43;1381.08;1428.47
Litija;1226.00;1252.97;1246.65;1238.99;1297.80;1261.10;1317.04;1358.18
Ljubljana;1766.09;1791.47;1779.22;1761.87;1774.87;1796.30;1828.60;1875.06
Ljubno;1222.01;1254.61;1315.81;1364.22;1363.14;1420.27;1465.85;1523.28
Ljutomer;1315.96;1332.04;1351.15;1361.49;1380.56;1390.22;1429.66;1490.63
Log - Dragomer;1222.15;1145.53;1194.71;1303.27;1315.85;1338.44;1368.42;1411.06
Logatec;1384.75;1416.53;1426.53;1423.10;1435.37;1447.76;1474.50;1511.20
Loška dolina;1243.37;1248.51;1218.15;1195.82;1180.01;1207.70;1269.64;1303.43
Loški Potok;1290.97;1355.68;1350.75;1270.66;1347.29;1429.33;1459.91;1505.13
Lovrenc na Pohorju;1224.53;1194.61;1213.37;1180.84;1197.47;1238.99;1285.44;1327.92
Luèe;1178.37;1256.33;1238.11;1240.41;1290.79;1250.62;1237.59;1270.23
Lukovica;1652.85;1604.97;1590.86;1627.06;1602.88;1595.76;1658.08;1699.75
Majšperk;1105.77;1158.25;1148.05;1133.45;1163.53;1183.61;1218.48;1294.23
Makole;1095.70;1100.83;1164.03;1185.68;1146.41;1144.73;1217.25;1290.40
Maribor;1454.90;1486.40;1488.64;1472.34;1482.24;1497.32;1525.64;1567.13
Markovci;1331.00;1310.10;1288.74;1280.95;1224.33;1208.90;1303.37;1318.90
Medvode;1418.43;1412.21;1408.46;1419.08;1425.13;1435.65;1477.20;1516.75
Mengeš;1287.11;1455.53;1422.13;1384.74;1416.75;1434.81;1440.38;1442.15
Metlika;1152.98;1216.01;1200.61;1217.99;1227.71;1255.43;1278.56;1314.43
Mežica;1387.93;1438.67;1431.49;1486.08;1575.56;1604.17;1627.06;1662.53
Miklavž na Dravskem polju;1233.15;1308.57;1344.97;1263.23;1260.98;1244.73;1245.96;1262.90
Miren - Kostanjevica;1313.46;1335.50;1360.46;1382.21;1392.39;1380.65;1415.04;1455.98
Mirna Peè;1338.16;1416.16;1323.69;1304.76;1352.67;1309.22;1329.11;1362.88
Mislinja;1256.76;1225.68;1272.06;1259.99;1252.46;1229.45;1219.00;1228.55
Mokronog - Trebelno;1208.81;1282.97;1219.87;1227.60;1282.46;1303.90;1340.50;1357.75
Moravèe;1344.58;1360.39;1342.18;1319.73;1372.44;1398.54;1415.88;1424.68
Moravske Toplice;1195.42;1205.90;1206.03;1187.31;1185.21;1157.98;1199.36;1224.07
Mozirje;1280.22;1302.93;1307.84;1297.39;1277.91;1311.25;1350.27;1431.67
Murska Sobota;1346.41;1360.73;1360.25;1365.22;1416.69;1447.42;1484.28;1529.98
Muta;1239.33;1292.91;1296.95;1337.61;1362.08;1400.68;1444.61;1475.15
Naklo;1385.33;1457.85;1450.14;1504.20;1472.43;1420.82;1454.40;1499.53
Nazarje;1259.32;1264.84;1330.01;1330.93;1405.83;1466.76;1506.97;1540.80
Nova Gorica;1593.43;1591.57;1564.47;1541.73;1542.38;1560.66;1582.38;1624.28
Novo mesto;1652.30;1685.34;1714.75;1723.95;1781.56;1766.16;1783.10;1810.44
Odranci;1134.39;1115.09;1095.66;1137.94;1143.81;1143.49;1135.63;1223.23
Oplotnica;1149.00;1098.78;1101.67;1122.24;1146.38;1168.89;1155.17;1200.97
Ormož;1168.47;1232.80;1266.41;1262.37;1262.05;1271.92;1274.69;1344.20
Osilnica;800.41;883.67;917.46;983.12;1003.34;1032.41;1026.55;1081.88
Pesnica;1343.10;1312.79;1321.39;1290.21;1316.94;1357.42;1393.98;1431.23
Piran/Pirano;1447.76;1476.90;1442.75;1404.24;1399.45;1396.19;1410.75;1434.54
Pivka;1118.26;1211.72;1345.82;1347.70;1344.73;1357.92;1367.28;1388.33
Podèetrtek;1121.47;1172.93;1176.82;1193.26;1206.37;1199.99;1211.95;1231.42
Podlehnik;1440.81;1447.74;1441.92;1460.66;1466.39;1501.60;1599.88;1647.80
Podvelka;1169.16;1161.48;1172.58;1205.57;1190.57;1217.89;1296.21;1412.21
Poljèane;1105.92;1165.47;1161.27;1132.88;1142.91;1181.64;1217.44;1210.35
Polzela;1063.56;1100.83;1130.75;1165.90;1164.17;1185.93;1216.28;1267.44
Postojna;1401.58;1436.74;1407.07;1404.62;1436.83;1463.71;1462.72;1492.57
Prebold;1221.08;1256.50;1244.43;1276.92;1271.68;1304.13;1312.73;1368.13
Preddvor;1273.83;1285.87;1292.82;1272.97;1305.37;1315.49;1379.08;1436.04
Prevalje;1250.05;1268.37;1284.12;1322.60;1331.36;1339.08;1393.47;1461.65
Ptuj;1304.07;1304.16;1276.96;1279.82;1284.70;1307.51;1363.03;1398.56
Puconci;1437.61;1450.95;1487.83;1433.39;1413.53;1407.59;1420.40;1507.15
Raèe - Fram;1296.49;1280.78;1241.61;1247.43;1265.07;1248.07;1279.72;1315.24
Radeèe;1310.46;1393.05;1327.37;1301.49;1301.64;1320.50;1379.68;1408.44
Radenci;1315.80;1359.21;1364.94;1347.15;1350.11;1370.95;1393.66;1446.45
Radlje ob Dravi;1217.57;1267.78;1279.62;1310.95;1350.44;1370.37;1404.21;1457.74
Radovljica;1365.04;1354.80;1357.67;1346.12;1359.62;1388.53;1430.54;1480.16
Ravne na Koroškem;1412.45;1485.85;1500.42;1505.02;1528.78;1584.42;1627.13;1678.03
Razkrižje;1308.89;1315.52;1219.97;1222.90;1336.06;1370.69;1390.05;1410.85
Reèica ob Savinji;1023.90;1052.83;1049.90;1054.98;1043.17;1059.07;1103.24;1151.20
Renèe - Vogrsko;1315.57;1306.86;1310.26;1254.10;1308.89;1322.71;1298.27;1338.88
